Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CSNA3,05/01/2021,34.17,04/11/2020,31/12/2020,37.91,12/01/2021,5,0.5641,0.0000,0.4359,1
CSNA3,06/01/2021,34.79,05/11/2020,05/01/2021,38.08,13/01/2021,5,0.6150,0.0000,0.3850,1
CSNA3,07/01/2021,36.2,06/11/2020,06/01/2021,36.25,14/01/2021,5,0.6400,0.0000,0.3600,1
CSNA3,08/01/2021,38.53,07/11/2020,07/01/2021,38.08,13/01/2021,3,0.6410,0.0000,0.3590,0
CSNA3,09/01/2021,38.76,10/11/2020,08/01/2021,34.36,16/01/2021,5,0.6677,0.0000,0.3323,0
CSNA3,12/01/2021,37.91,11/11/2020,09/01/2021,36.25,14/01/2021,2,0.6923,0.0000,0.3077,0
CSNA3,13/01/2021,38.08,12/11/2020,12/01/2021,33.04,20/01/2021,5,0.6667,0.0000,0.3333,0
CSNA3,14/01/2021,36.25,13/11/2020,13/01/2021,33,27/01/2021,8,0.7143,0.0000,0.2857,0
CSNA3,15/01/2021,37.39,14/11/2020,14/01/2021,32.1,28/01/2021,8,0.6694,0.0000,0.3306,0
CSNA3,16/01/2021,34.36,17/11/2020,15/01/2021,33.14,29/01/2021,8,0.6923,0.0000,0.3077,0
CSNA3,19/01/2021,35.04,18/11/2020,16/01/2021,30.4,30/01/2021,8,0.6667,0.0000,0.3333,0
CSNA3,20/01/2021,33.04,19/11/2020,19/01/2021,31.69,02/02/2021,8,0.6923,0.0000,0.3077,0
CSNA3,21/01/2021,33.1,20/11/2020,20/01/2021,30.6,03/02/2021,8,0.6667,0.0000,0.3333,0
CSNA3,22/01/2021,33.42,21/11/2020,21/01/2021,31.18,04/02/2021,8,0.6923,0.0000,0.3077,0
CSNA3,23/01/2021,33.98,24/11/2020,22/01/2021,31.1,05/02/2021,8,0.6923,0.0000,0.3077,0
CSNA3,27/01/2021,33,25/11/2020,23/01/2021,33.39,06/02/2021,8,0.6923,0.0000,0.3077,1
CSNA3,28/01/2021,32.1,26/11/2020,27/01/2021,34.61,09/02/2021,8,0.6452,0.0000,0.3548,1
CSNA3,29/01/2021,33.14,27/11/2020,28/01/2021,35.45,10/02/2021,8,0.6410,0.0000,0.3590,1
CSNA3,30/01/2021,30.4,28/11/2020,29/01/2021,34.39,11/02/2021,8,0.6875,0.0000,0.3125,1
