Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
BBAS3,15/01/2021,37.46,14/11/2020,14/01/2021,34.06,03/02/2021,12,0.5783,0.0000,0.4217,0
BBAS3,16/01/2021,36.3,17/11/2020,15/01/2021,34.33,04/02/2021,12,0.5520,0.0000,0.4480,0
BBAS3,19/01/2021,35.93,18/11/2020,16/01/2021,34.19,05/02/2021,12,0.5259,0.0000,0.4741,0
BBAS3,20/01/2021,35.32,19/11/2020,19/01/2021,33.96,06/02/2021,12,0.5000,0.0000,0.5000,-1
BBAS3,21/01/2021,34.53,20/11/2020,20/01/2021,33.87,09/02/2021,12,0.5128,0.0000,0.4872,-1
BBAS3,22/01/2021,34.18,21/11/2020,21/01/2021,34.28,10/02/2021,12,0.4673,0.0000,0.5327,0
BBAS3,23/01/2021,33.69,24/11/2020,22/01/2021,32.63,20/02/2021,17,0.4419,0.0000,0.5581,1
BBAS3,27/01/2021,32.79,25/11/2020,23/01/2021,28.83,23/02/2021,17,0.4615,0.0000,0.5385,1
BBAS3,28/01/2021,33.59,26/11/2020,27/01/2021,30.43,24/02/2021,17,0.4615,0.0000,0.5385,1
BBAS3,29/01/2021,34.54,27/11/2020,28/01/2021,33.36,18/02/2021,12,0.5327,0.0000,0.4673,0
BBAS3,30/01/2021,33.86,28/11/2020,29/01/2021,29.5,26/02/2021,17,0.5581,0.0000,0.4419,0
BBAS3,02/02/2021,34.29,01/12/2020,30/01/2021,32.63,20/02/2021,12,0.4673,0.0000,0.5327,1
BBAS3,03/02/2021,34.06,02/12/2020,02/02/2021,28.83,23/02/2021,12,0.5128,0.0000,0.4872,-1
BBAS3,04/02/2021,34.33,03/12/2020,03/02/2021,30.43,24/02/2021,12,0.4488,0.0000,0.5512,1
BBAS3,05/02/2021,34.19,04/12/2020,04/02/2021,30.31,25/02/2021,12,0.4872,0.0000,0.5128,-1
BBAS3,06/02/2021,33.96,05/12/2020,05/02/2021,32.63,20/02/2021,8,0.4286,0.0000,0.5714,1
BBAS3,09/02/2021,33.87,08/12/2020,06/02/2021,28.83,23/02/2021,8,0.4359,0.0000,0.5641,1
BBAS3,10/02/2021,34.28,09/12/2020,09/02/2021,30.43,24/02/2021,8,0.4359,0.0000,0.5641,1
BBAS3,11/02/2021,33.81,10/12/2020,10/02/2021,28.93,03/03/2021,12,0.4615,0.0000,0.5385,1
BBAS3,12/02/2021,33.94,11/12/2020,11/02/2021,29.5,26/02/2021,8,0.4034,0.0000,0.5966,1
BBAS3,13/02/2021,33.75,12/12/2020,12/02/2021,28.05,27/02/2021,8,0.4359,0.0000,0.5641,1
BBAS3,18/02/2021,33.36,15/12/2020,13/02/2021,30.31,25/02/2021,5,0.3821,0.0000,0.6179,1
BBAS3,19/02/2021,33.26,16/12/2020,18/02/2021,28.93,03/03/2021,8,0.3571,0.0000,0.6429,1
BBAS3,20/02/2021,32.63,17/12/2020,19/02/2021,28.05,27/02/2021,5,0.3323,0.0000,0.6677,1
BBAS3,23/02/2021,28.83,18/12/2020,20/02/2021,27.86,02/03/2021,5,0.3333,0.0000,0.6667,1
BBAS3,24/02/2021,30.43,19/12/2020,23/02/2021,28.93,03/03/2021,5,0.3333,0.0000,0.6667,1
BBAS3,25/02/2021,30.31,22/12/2020,24/02/2021,29.2,09/03/2021,8,0.3590,0.0000,0.6410,1
BBAS3,26/02/2021,29.5,23/12/2020,25/02/2021,27.86,02/03/2021,2,0.3077,0.0000,0.6923,1
BBAS3,27/02/2021,28.05,24/12/2020,26/02/2021,30.6,06/03/2021,5,0.2832,0.0000,0.7168,0
BBAS3,02/03/2021,27.86,29/12/2020,27/02/2021,29.2,09/03/2021,5,0.2821,0.0000,0.7179,0
BBAS3,03/03/2021,28.93,30/12/2020,02/03/2021,28.99,10/03/2021,5,0.2821,0.0000,0.7179,0
BBAS3,04/03/2021,28.99,31/12/2020,03/03/2021,30.6,06/03/2021,2,0.3333,0.0000,0.6667,0
BBAS3,05/03/2021,30.04,05/01/2021,04/03/2021,30.05,12/03/2021,5,0.3600,0.0000,0.6400,0
BBAS3,06/03/2021,30.6,06/01/2021,05/03/2021,30.7,18/03/2021,8,0.3590,0.0000,0.6410,0
BBAS3,09/03/2021,29.2,07/01/2021,06/03/2021,30.44,19/03/2021,8,0.3590,0.0000,0.6410,0
BBAS3,10/03/2021,28.99,08/01/2021,09/03/2021,30.05,12/03/2021,2,0.3077,0.0000,0.6923,0
BBAS3,11/03/2021,29.9,09/01/2021,10/03/2021,30.7,18/03/2021,5,0.3077,0.0000,0.6923,0
BBAS3,12/03/2021,30.05,12/01/2021,11/03/2021,29.68,24/03/2021,8,0.3333,0.0000,0.6667,1
BBAS3,13/03/2021,30,13/01/2021,12/03/2021,29.14,25/03/2021,8,0.3636,0.0000,0.6364,1
BBAS3,16/03/2021,29.79,14/01/2021,13/03/2021,30.79,23/03/2021,5,0.3333,0.0000,0.6667,0
BBAS3,17/03/2021,29.87,15/01/2021,16/03/2021,29.68,24/03/2021,5,0.3333,0.0000,0.6667,1
BBAS3,18/03/2021,30.7,16/01/2021,17/03/2021,29.14,25/03/2021,5,0.3865,0.0000,0.6135,1
BBAS3,19/03/2021,30.44,19/01/2021,18/03/2021,29.56,26/03/2021,5,0.4128,0.0000,0.5872,1
BBAS3,20/03/2021,30.7,20/01/2021,19/03/2021,29.66,27/03/2021,5,0.3846,0.0000,0.6154,1
BBAS3,23/03/2021,30.79,21/01/2021,20/03/2021,29.56,26/03/2021,3,0.4360,0.0000,0.5640,1
BBAS3,24/03/2021,29.68,22/01/2021,23/03/2021,30.72,31/03/2021,5,0.4620,0.0000,0.5380,0
BBAS3,25/03/2021,29.14,23/01/2021,24/03/2021,30.45,01/04/2021,5,0.4359,0.0000,0.5641,0
BBAS3,26/03/2021,29.56,27/01/2021,25/03/2021,30.72,31/03/2021,3,0.4102,0.0000,0.5898,0
BBAS3,27/03/2021,29.66,28/01/2021,26/03/2021,29.91,06/04/2021,5,0.4359,0.0000,0.5641,0
BBAS3,30/03/2021,29.8,29/01/2021,27/03/2021,29.55,07/04/2021,5,0.4620,0.0000,0.5380,1
BBAS3,31/03/2021,30.72,30/01/2021,30/03/2021,29.55,13/04/2021,8,0.4615,0.0000,0.5385,1
