Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ENGI11,05/01/2021,50.6,02/07/2020,31/12/2020,48.9,15/01/2021,8,0.5476,0.0079,0.4444,0,0,0
ENGI11,06/01/2021,50.99,03/07/2020,05/01/2021,48.4,16/01/2021,8,0.5404,0.0081,0.4515,0,0,0
ENGI11,07/01/2021,49.34,04/07/2020,06/01/2021,51.25,10/02/2021,23,0.5565,0.0000,0.4435,1,1,1
ENGI11,08/01/2021,47.58,07/07/2020,07/01/2021,47.76,20/01/2021,8,0.5450,0.0000,0.4550,1,1,1
ENGI11,09/01/2021,49.43,08/07/2020,08/01/2021,47.63,21/01/2021,8,0.5370,0.0000,0.4630,0,0,0
ENGI11,12/01/2021,47.02,09/07/2020,09/01/2021,47.84,22/01/2021,8,0.5510,0.0000,0.4490,1,1,1
ENGI11,13/01/2021,47.17,10/07/2020,12/01/2021,47.66,23/01/2021,8,0.5440,0.0000,0.4560,1,1,1
ENGI11,14/01/2021,47.25,11/07/2020,13/01/2021,47.67,27/01/2021,8,0.5588,0.0000,0.4412,1,1,1
ENGI11,15/01/2021,48.9,14/07/2020,14/01/2021,49.54,28/01/2021,8,0.5600,0.0000,0.4400,1,1,1
ENGI11,16/01/2021,48.4,15/07/2020,15/01/2021,50.69,29/01/2021,8,0.5600,0.0000,0.4400,1,1,1
ENGI11,19/01/2021,47.65,16/07/2020,16/01/2021,49.25,30/01/2021,8,0.5520,0.0000,0.4480,1,1,1
ENGI11,20/01/2021,47.76,17/07/2020,19/01/2021,49.4,02/02/2021,8,0.5450,0.0000,0.4550,1,1,1
ENGI11,21/01/2021,47.63,18/07/2020,20/01/2021,50.78,03/02/2021,8,0.5590,0.0000,0.4410,1,1,1
ENGI11,22/01/2021,47.84,21/07/2020,21/01/2021,52,04/02/2021,8,0.5520,0.0000,0.4480,1,1,1
ENGI11,23/01/2021,47.66,22/07/2020,22/01/2021,50.76,05/02/2021,8,0.5600,0.0000,0.4400,1,1,1
ENGI11,27/01/2021,47.67,23/07/2020,23/01/2021,50.11,06/02/2021,8,0.5452,0.0000,0.4548,1,1,1
ENGI11,28/01/2021,49.54,24/07/2020,27/01/2021,50.78,09/02/2021,8,0.5588,0.0000,0.4412,1,1,1
ENGI11,29/01/2021,50.69,25/07/2020,28/01/2021,51.25,10/02/2021,8,0.5600,0.0000,0.4400,1,0,1
ENGI11,30/01/2021,49.25,28/07/2020,29/01/2021,50.62,11/02/2021,8,0.5600,0.0000,0.4400,1,1,1
ENGI11,02/02/2021,49.4,29/07/2020,30/01/2021,51.11,12/02/2021,8,0.5520,0.0000,0.4480,1,1,1
ENGI11,03/02/2021,50.78,30/07/2020,02/02/2021,51.14,13/02/2021,8,0.5600,0.0000,0.4400,1,0,0
ENGI11,04/02/2021,52,31/07/2020,03/02/2021,50.56,18/02/2021,8,0.5669,0.0000,0.4331,0,0,0
ENGI11,05/02/2021,50.76,01/08/2020,04/02/2021,49.56,19/02/2021,8,0.5749,0.0000,0.4251,0,0,0
ENGI11,06/02/2021,50.11,04/08/2020,05/02/2021,49.39,20/02/2021,8,0.5680,0.0000,0.4320,0,0,0
ENGI11,09/02/2021,50.78,05/08/2020,06/02/2021,46.9,23/02/2021,8,0.5611,0.0000,0.4389,0,0,0
ENGI11,10/02/2021,51.25,06/08/2020,09/02/2021,46.9,24/02/2021,8,0.5680,0.0000,0.4320,0,0,0
ENGI11,11/02/2021,50.62,07/08/2020,10/02/2021,46.13,25/02/2021,8,0.5749,0.0000,0.4251,0,0,0
ENGI11,12/02/2021,51.11,08/08/2020,11/02/2021,44.92,26/02/2021,8,0.5611,0.0000,0.4389,0,0,0
ENGI11,13/02/2021,51.14,11/08/2020,12/02/2021,43.67,27/02/2021,8,0.5749,0.0000,0.4251,0,0,0
ENGI11,18/02/2021,50.56,12/08/2020,13/02/2021,42.71,02/03/2021,8,0.5829,0.0000,0.4171,0,0,0
ENGI11,19/02/2021,49.56,13/08/2020,18/02/2021,43.1,03/03/2021,8,0.5760,0.0000,0.4240,0,0,0
ENGI11,20/02/2021,49.39,14/08/2020,19/02/2021,43.4,04/03/2021,8,0.5691,0.0000,0.4309,0,0,0
ENGI11,23/02/2021,46.9,15/08/2020,20/02/2021,44.22,05/03/2021,8,0.5680,0.0000,0.4320,0,0,0
