Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CPFE3,05/01/2021,31.52,02/07/2020,31/12/2020,31.76,15/01/2021,8,0.5153,0.0081,0.4767,-1,-1,-1
CPFE3,06/01/2021,31.37,03/07/2020,05/01/2021,32.24,16/01/2021,8,0.5054,0.0079,0.4867,-1,-1,-1
CPFE3,07/01/2021,31.33,04/07/2020,06/01/2021,31.95,19/01/2021,8,0.4974,0.0079,0.4947,-1,-1,-1
CPFE3,08/01/2021,30.25,07/07/2020,07/01/2021,31.69,20/01/2021,8,0.4927,0.0079,0.4994,-1,-1,-1
CPFE3,09/01/2021,31.42,08/07/2020,08/01/2021,31.41,21/01/2021,8,0.4927,0.0079,0.4994,-1,-1,-1
CPFE3,12/01/2021,30.53,09/07/2020,09/01/2021,31.01,22/01/2021,8,0.5073,0.0081,0.4847,-1,-1,-1
CPFE3,13/01/2021,30.68,10/07/2020,12/01/2021,30.48,23/01/2021,8,0.4974,0.0079,0.4947,-1,-1,-1
CPFE3,14/01/2021,31.03,11/07/2020,13/01/2021,30.37,27/01/2021,8,0.5073,0.0081,0.4847,-1,-1,-1
CPFE3,15/01/2021,31.76,14/07/2020,14/01/2021,30.85,28/01/2021,8,0.5120,0.0080,0.4800,-1,-1,-1
CPFE3,16/01/2021,32.24,15/07/2020,15/01/2021,31.4,29/01/2021,8,0.5120,0.0080,0.4800,-1,-1,-1
CPFE3,19/01/2021,31.95,16/07/2020,16/01/2021,31.11,30/01/2021,8,0.5153,0.0081,0.4766,-1,-1,-1
CPFE3,20/01/2021,31.69,17/07/2020,19/01/2021,33.43,06/02/2021,12,0.5053,0.0079,0.4868,-1,-1,-1
CPFE3,21/01/2021,31.41,18/07/2020,20/01/2021,33.5,09/02/2021,12,0.4973,0.0079,0.4948,-1,-1,-1
CPFE3,22/01/2021,31.01,21/07/2020,21/01/2021,28.86,27/02/2021,23,0.4932,0.0000,0.5068,-1,-1,-1
CPFE3,23/01/2021,30.48,22/07/2020,22/01/2021,33.6,11/02/2021,12,0.4892,0.0000,0.5108,-1,-1,-1
CPFE3,27/01/2021,30.37,23/07/2020,23/01/2021,33.43,06/02/2021,8,0.4880,0.0000,0.5120,-1,-1,-1
CPFE3,28/01/2021,30.85,24/07/2020,27/01/2021,33.5,09/02/2021,8,0.4810,0.0000,0.5190,-1,-1,-1
CPFE3,29/01/2021,31.4,25/07/2020,28/01/2021,33.78,10/02/2021,8,0.4880,0.0000,0.5120,-1,-1,-1
CPFE3,30/01/2021,31.11,28/07/2020,29/01/2021,33.6,11/02/2021,8,0.4950,0.0000,0.5050,-1,-1,-1
CPFE3,02/02/2021,31.56,29/07/2020,30/01/2021,33.75,12/02/2021,8,0.4810,0.0000,0.5190,-1,-1,-1
CPFE3,03/02/2021,32.37,30/07/2020,02/02/2021,33.5,13/02/2021,8,0.4880,0.0000,0.5120,-1,-1,-1
CPFE3,04/02/2021,32.72,31/07/2020,03/02/2021,32.86,18/02/2021,8,0.4950,0.0000,0.5050,-1,-1,-1
CPFE3,05/02/2021,33.13,01/08/2020,04/02/2021,32.75,19/02/2021,8,0.5030,0.0000,0.4970,-1,-1,-1
CPFE3,06/02/2021,33.43,04/08/2020,05/02/2021,32.63,20/02/2021,8,0.5110,0.0000,0.4890,-1,-1,-1
CPFE3,09/02/2021,33.5,05/08/2020,06/02/2021,30.35,23/02/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
CPFE3,10/02/2021,33.78,06/08/2020,09/02/2021,30.48,24/02/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
CPFE3,11/02/2021,33.6,07/08/2020,10/02/2021,32.63,20/02/2021,5,0.5192,0.0000,0.4808,-1,-1,-1
CPFE3,12/02/2021,33.75,08/08/2020,11/02/2021,29.46,26/02/2021,8,0.5048,0.0000,0.4952,-1,-1,-1
CPFE3,13/02/2021,33.5,11/08/2020,12/02/2021,30.48,24/02/2021,5,0.5192,0.0000,0.4808,-1,-1,-1
CPFE3,18/02/2021,32.86,12/08/2020,13/02/2021,28.05,02/03/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
CPFE3,19/02/2021,32.75,13/08/2020,18/02/2021,28.68,03/03/2021,8,0.5120,0.0000,0.4880,-1,-1,-1
CPFE3,20/02/2021,32.63,14/08/2020,19/02/2021,29.04,04/03/2021,8,0.5048,0.0000,0.4952,-1,-1,-1
CPFE3,23/02/2021,30.35,15/08/2020,20/02/2021,28.05,02/03/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
CPFE3,24/02/2021,30.48,18/08/2020,23/02/2021,29.39,06/03/2021,8,0.4965,0.0000,0.5035,-1,-1,-1
CPFE3,25/02/2021,29.99,19/08/2020,24/02/2021,28.47,09/03/2021,8,0.5115,0.0000,0.4885,-1,-1,-1
CPFE3,26/02/2021,29.46,20/08/2020,25/02/2021,29.5,05/03/2021,5,0.5040,0.0000,0.4960,-1,-1,-1
