Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
SANB11,05/01/2021,44.41,02/07/2020,31/12/2020,44.71,12/01/2021,5,0.5611,0.0081,0.4308,1
SANB11,06/01/2021,43.58,03/07/2020,05/01/2021,43.7,16/01/2021,8,0.5565,0.0081,0.4355,1
SANB11,07/01/2021,44.66,04/07/2020,06/01/2021,43.92,19/01/2021,8,0.5528,0.0081,0.4390,0
SANB11,08/01/2021,46.38,07/07/2020,07/01/2021,42.97,20/01/2021,8,0.5636,0.0079,0.4285,0
SANB11,09/01/2021,45.89,08/07/2020,08/01/2021,43.7,16/01/2021,5,0.5680,0.0080,0.4240,0
SANB11,12/01/2021,44.71,09/07/2020,09/01/2021,40.86,22/01/2021,8,0.5563,0.0081,0.4356,0
SANB11,13/01/2021,45.16,10/07/2020,12/01/2021,40.6,23/01/2021,8,0.5526,0.0081,0.4392,0
SANB11,14/01/2021,44.75,11/07/2020,13/01/2021,41.87,21/01/2021,5,0.5637,0.0079,0.4284,0
SANB11,15/01/2021,46,14/07/2020,14/01/2021,39.05,28/01/2021,8,0.5526,0.0081,0.4392,0
SANB11,16/01/2021,43.7,15/07/2020,15/01/2021,40.6,23/01/2021,5,0.5600,0.0080,0.4320,0
SANB11,19/01/2021,43.92,16/07/2020,16/01/2021,39.29,27/01/2021,5,0.5483,0.0081,0.4436,0
SANB11,20/01/2021,42.97,17/07/2020,19/01/2021,39.05,28/01/2021,5,0.5600,0.0080,0.4320,0
SANB11,21/01/2021,41.87,18/07/2020,20/01/2021,41,03/02/2021,8,0.5448,0.0081,0.4471,0
SANB11,22/01/2021,40.86,21/07/2020,21/01/2021,39.26,30/01/2021,5,0.5368,0.0081,0.4551,0
SANB11,23/01/2021,40.6,22/07/2020,22/01/2021,40.8,02/02/2021,5,0.5323,0.0081,0.4596,1
