Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
MULT3,05/01/2021,22.55,02/07/2020,31/12/2020,21.42,12/01/2021,5,0.4203,0.0081,0.5716,1
MULT3,06/01/2021,22.58,03/07/2020,05/01/2021,21.35,16/01/2021,8,0.4073,0.0078,0.5849,1
MULT3,07/01/2021,21.6,04/07/2020,06/01/2021,21.42,19/01/2021,8,0.4160,0.0080,0.5760,1
MULT3,08/01/2021,21.6,07/07/2020,07/01/2021,21.94,15/01/2021,5,0.4038,0.0079,0.5883,0
MULT3,09/01/2021,22.38,08/07/2020,08/01/2021,20.44,28/01/2021,12,0.4048,0.0238,0.5714,1
MULT3,12/01/2021,21.42,09/07/2020,09/01/2021,21.42,19/01/2021,5,0.4080,0.0160,0.5760,0
MULT3,13/01/2021,21.64,10/07/2020,12/01/2021,21.19,20/01/2021,5,0.3917,0.0159,0.5923,1
MULT3,14/01/2021,21.48,11/07/2020,13/01/2021,20.96,21/01/2021,5,0.4028,0.0160,0.5812,1
MULT3,15/01/2021,21.94,14/07/2020,14/01/2021,20.59,22/01/2021,5,0.3946,0.0160,0.5895,1
MULT3,16/01/2021,21.35,15/07/2020,15/01/2021,20.38,23/01/2021,5,0.4107,0.0160,0.5733,1
MULT3,19/01/2021,21.42,16/07/2020,16/01/2021,20.51,27/01/2021,5,0.4027,0.0160,0.5813,1
MULT3,20/01/2021,21.19,17/07/2020,19/01/2021,20.44,28/01/2021,5,0.4160,0.0160,0.5680,1
MULT3,21/01/2021,20.96,18/07/2020,20/01/2021,21.8,29/01/2021,5,0.4002,0.0160,0.5838,0
MULT3,22/01/2021,20.59,21/07/2020,21/01/2021,22.5,04/02/2021,8,0.3947,0.0160,0.5893,0
MULT3,23/01/2021,20.38,22/07/2020,22/01/2021,22.13,05/02/2021,8,0.3947,0.0160,0.5893,0
