Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
BRKM5,04/01/2011,20.25,02/11/2010,31/12/2010,19.34,14/01/2011,8,0.5388,0.1252,0.3361,0,0,0
BRKM5,05/01/2011,20.64,04/11/2010,04/01/2011,19.3,15/01/2011,8,0.5136,0.1250,0.3614,0,0,0
BRKM5,06/01/2011,20.93,05/11/2010,05/01/2011,20,18/01/2011,8,0.5399,0.1250,0.3351,0,0,0
BRKM5,07/01/2011,20.68,06/11/2010,06/01/2011,19.34,14/01/2011,5,0.5656,0.1214,0.3129,0,0,0
BRKM5,08/01/2011,20.1,09/11/2010,07/01/2011,20.35,20/01/2011,8,0.5414,0.0995,0.3592,1,1,1
BRKM5,11/01/2011,20.19,10/11/2010,08/01/2011,20,18/01/2011,5,0.5225,0.0941,0.3833,0,1,1
BRKM5,12/01/2011,19.83,11/11/2010,11/01/2011,20.3,22/01/2011,8,0.5666,0.0754,0.3580,1,1,1
BRKM5,13/01/2011,19.76,12/11/2010,12/01/2011,20.35,20/01/2011,5,0.5477,0.0664,0.3859,1,1,1
BRKM5,14/01/2011,19.34,13/11/2010,13/01/2011,21.2,27/01/2011,8,0.5428,0.0493,0.4079,1,1,1
BRKM5,15/01/2011,19.3,17/11/2010,14/01/2011,20.85,28/01/2011,8,0.5342,0.0486,0.4173,1,1,1
BRKM5,18/01/2011,20,18/11/2010,15/01/2011,20.35,29/01/2011,8,0.5090,0.0485,0.4425,1,1,1
BRKM5,19/01/2011,20.28,19/11/2010,18/01/2011,20.97,01/02/2011,8,0.5325,0.0507,0.4167,1,1,1
BRKM5,20/01/2011,20.35,20/11/2010,19/01/2011,20.95,02/02/2011,8,0.5403,0.0515,0.4082,1,1,1
BRKM5,21/01/2011,20.6,23/11/2010,20/01/2011,20.73,03/02/2011,8,0.5651,0.0514,0.3836,1,1,0
BRKM5,22/01/2011,20.3,24/11/2010,21/01/2011,20.97,01/02/2011,5,0.5831,0.0507,0.3662,1,1,1
BRKM5,25/01/2011,20.7,25/11/2010,22/01/2011,20.2,11/02/2011,12,0.5447,0.0371,0.4182,0,0,0
BRKM5,27/01/2011,21.2,26/11/2010,25/01/2011,20.73,03/02/2011,5,0.5867,0.0255,0.3878,0,0,0
BRKM5,28/01/2011,20.85,27/11/2010,27/01/2011,20.9,04/02/2011,5,0.6115,0.0255,0.3631,1,0,0
BRKM5,29/01/2011,20.35,30/11/2010,28/01/2011,20.11,10/02/2011,8,0.5760,0.0240,0.4000,0,0,0
BRKM5,01/02/2011,20.97,01/12/2010,29/01/2011,20.2,11/02/2011,8,0.5505,0.0239,0.4255,0,0,0
BRKM5,02/02/2011,20.95,02/12/2010,01/02/2011,20.3,12/02/2011,8,0.5750,0.0250,0.4000,0,0,0
BRKM5,03/02/2011,20.73,03/12/2010,02/02/2011,20.11,10/02/2011,5,0.5386,0.0245,0.4370,0,0,0
BRKM5,04/02/2011,20.9,04/12/2010,03/02/2011,20,16/02/2011,8,0.5252,0.0239,0.4509,0,0,0
BRKM5,05/02/2011,20.13,07/12/2010,04/02/2011,20.3,12/02/2011,5,0.5619,0.0255,0.4125,1,1,0
BRKM5,08/02/2011,20.8,08/12/2010,05/02/2011,20.06,18/02/2011,8,0.5252,0.0239,0.4509,0,0,0
BRKM5,09/02/2011,20.7,09/12/2010,08/02/2011,20,16/02/2011,5,0.5619,0.0255,0.4125,0,0,0
BRKM5,10/02/2011,20.11,10/12/2010,09/02/2011,19.79,22/02/2011,8,0.5252,0.0239,0.4509,0,0,0
BRKM5,11/02/2011,20.2,11/12/2010,10/02/2011,19.38,23/02/2011,8,0.5000,0.0238,0.4762,-1,-1,-1
BRKM5,12/02/2011,20.3,14/12/2010,11/02/2011,21.22,11/03/2011,17,0.5385,0.0000,0.4615,1,1,1
BRKM5,15/02/2011,20.3,15/12/2010,12/02/2011,20.06,18/02/2011,3,0.5500,0.0000,0.4500,0,0,0
BRKM5,16/02/2011,20,16/12/2010,15/02/2011,21.06,15/03/2011,17,0.5122,0.0488,0.4390,1,1,1
BRKM5,17/02/2011,20.5,17/12/2010,16/02/2011,19.3,24/02/2011,5,0.4884,0.0244,0.4872,-1,-1,-1
BRKM5,18/02/2011,20.06,18/12/2010,17/02/2011,20.11,02/03/2011,8,0.5110,0.0256,0.4634,-1,-1,-1
BRKM5,19/02/2011,19.95,21/12/2010,18/02/2011,20.62,03/03/2011,8,0.4644,0.0244,0.5111,-1,-1,-1
BRKM5,22/02/2011,19.79,22/12/2010,19/02/2011,20.89,04/03/2011,8,0.4500,0.0250,0.5250,0,0,0
BRKM5,23/02/2011,19.38,23/12/2010,22/02/2011,20.94,05/03/2011,8,0.4385,0.0244,0.5371,0,0,0
