Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
TRIS3,05/01/2021,11.71,04/11/2020,31/12/2020,11.49,15/01/2021,8,0.4878,0.0244,0.4878,-1,-1,-1
TRIS3,06/01/2021,11.3,05/11/2020,05/01/2021,11.45,16/01/2021,8,0.4622,0.0243,0.5135,0,1,1
TRIS3,07/01/2021,10.8,06/11/2020,06/01/2021,11.22,19/01/2021,8,0.4367,0.0243,0.5391,0,0,0
TRIS3,08/01/2021,10.65,07/11/2020,07/01/2021,11.22,20/01/2021,8,0.4113,0.0242,0.5645,0,0,0
TRIS3,09/01/2021,11.22,10/11/2020,08/01/2021,10.69,28/01/2021,12,0.3861,0.0241,0.5898,1,1,1
TRIS3,12/01/2021,10.85,11/11/2020,09/01/2021,10.84,22/01/2021,8,0.4222,0.0264,0.5515,1,1,1
TRIS3,13/01/2021,11.22,12/11/2020,12/01/2021,10.41,23/01/2021,8,0.3990,0.0249,0.5761,1,1,1
TRIS3,14/01/2021,10.98,13/11/2020,13/01/2021,10.49,27/01/2021,8,0.4359,0.0256,0.5385,1,1,1
TRIS3,15/01/2021,11.49,14/11/2020,14/01/2021,10.97,10/02/2021,17,0.3980,0.0000,0.6020,1,1,1
TRIS3,16/01/2021,11.45,17/11/2020,15/01/2021,10.91,29/01/2021,8,0.4359,0.0000,0.5641,1,1,1
TRIS3,19/01/2021,11.22,18/11/2020,16/01/2021,10.8,30/01/2021,8,0.4103,0.0000,0.5897,1,1,0
TRIS3,20/01/2021,11.22,19/11/2020,19/01/2021,11.2,02/02/2021,8,0.3874,0.0000,0.6126,1,0,0
TRIS3,21/01/2021,11.22,20/11/2020,20/01/2021,10.39,18/02/2021,17,0.3750,0.0500,0.5750,1,1,1
TRIS3,22/01/2021,10.84,21/11/2020,21/01/2021,9.36,27/02/2021,23,0.3500,0.0750,0.5750,1,1,1
TRIS3,23/01/2021,10.41,24/11/2020,22/01/2021,10.5,11/02/2021,12,0.3519,0.0397,0.6085,0,0,0
TRIS3,27/01/2021,10.49,25/11/2020,23/01/2021,10.59,12/02/2021,12,0.3263,0.0396,0.6341,0,0,1
