Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
ENBR3,05/01/2021,19.56,04/11/2020,31/12/2020,20.5,15/01/2021,8,0.5047,0.0505,0.4449,1,1,1
ENBR3,06/01/2021,19.1,05/11/2020,05/01/2021,19.68,13/01/2021,5,0.4790,0.0504,0.4706,-1,-1,-1
ENBR3,07/01/2021,18.98,06/11/2020,06/01/2021,20.16,19/01/2021,8,0.4534,0.0504,0.4963,-1,-1,-1
ENBR3,08/01/2021,18.56,07/11/2020,07/01/2021,20.5,15/01/2021,5,0.4278,0.0503,0.5219,0,0,0
ENBR3,09/01/2021,19.36,10/11/2020,08/01/2021,20.05,21/01/2021,8,0.4103,0.0513,0.5385,0,0,0
ENBR3,12/01/2021,19.31,11/11/2020,09/01/2021,20.16,19/01/2021,5,0.4531,0.0533,0.4936,-1,-1,-1
ENBR3,13/01/2021,19.68,12/11/2020,12/01/2021,19.46,23/01/2021,8,0.4103,0.0513,0.5385,1,1,1
ENBR3,14/01/2021,19.89,13/11/2020,13/01/2021,20.05,21/01/2021,5,0.4531,0.0533,0.4936,-1,-1,-1
ENBR3,15/01/2021,20.5,14/11/2020,14/01/2021,19.83,03/02/2021,12,0.4622,0.0544,0.4834,-1,-1,-1
ENBR3,16/01/2021,20.42,17/11/2020,15/01/2021,19.86,29/01/2021,8,0.4811,0.0535,0.4655,-1,-1,-1
ENBR3,19/01/2021,20.16,18/11/2020,16/01/2021,19.29,30/01/2021,8,0.4359,0.0513,0.5128,1,1,1
ENBR3,20/01/2021,20.17,19/11/2020,19/01/2021,19.5,02/02/2021,8,0.4359,0.0513,0.5128,1,1,1
ENBR3,21/01/2021,20.05,20/11/2020,20/01/2021,19.83,03/02/2021,8,0.4880,0.0542,0.4578,-1,-1,-1
ENBR3,22/01/2021,19.68,21/11/2020,21/01/2021,19.91,04/02/2021,8,0.4615,0.0513,0.4872,-1,-1,-1
ENBR3,23/01/2021,19.46,24/11/2020,22/01/2021,19.5,02/02/2021,5,0.4524,0.0503,0.4974,-1,-1,-1
ENBR3,27/01/2021,19.19,25/11/2020,23/01/2021,19.66,06/02/2021,8,0.4359,0.0513,0.5128,0,0,0
ENBR3,28/01/2021,19.36,26/11/2020,27/01/2021,19.5,09/02/2021,8,0.4255,0.0501,0.5244,0,0,1
ENBR3,29/01/2021,19.86,27/11/2020,28/01/2021,19.9,05/02/2021,5,0.4554,0.0536,0.4911,-1,-1,-1
ENBR3,30/01/2021,19.29,28/11/2020,29/01/2021,19.01,11/02/2021,8,0.4658,0.0548,0.4795,-1,-1,-1
ENBR3,02/02/2021,19.5,01/12/2020,30/01/2021,19.02,12/02/2021,8,0.4255,0.0501,0.5244,1,1,1
ENBR3,03/02/2021,19.83,02/12/2020,02/02/2021,19.36,10/02/2021,5,0.4554,0.0536,0.4911,-1,-1,-1
ENBR3,04/02/2021,19.91,03/12/2020,03/02/2021,19.01,11/02/2021,5,0.4554,0.0536,0.4911,-1,-1,-1
ENBR3,05/02/2021,19.9,04/12/2020,04/02/2021,18.66,19/02/2021,8,0.4658,0.0548,0.4795,-1,-1,-1
ENBR3,06/02/2021,19.66,05/12/2020,05/02/2021,18.63,20/02/2021,8,0.4359,0.0513,0.5128,1,1,1
ENBR3,09/02/2021,19.5,08/12/2020,06/02/2021,18.05,23/02/2021,8,0.4359,0.0513,0.5128,1,1,1
ENBR3,10/02/2021,19.36,09/12/2020,09/02/2021,18.26,24/02/2021,8,0.4255,0.0501,0.5244,1,1,1
ENBR3,11/02/2021,19.01,10/12/2020,10/02/2021,18.31,25/02/2021,8,0.4000,0.0500,0.5500,1,1,1
ENBR3,12/02/2021,19.02,11/12/2020,11/02/2021,18.28,26/02/2021,8,0.3746,0.0499,0.5755,1,1,1
