Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
TRPL4,05/01/2021,27.74,03/01/2020,31/12/2020,27.49,12/01/2021,5,0.5188,0.0080,0.4731,-1
TRPL4,06/01/2021,27.56,04/01/2020,05/01/2021,28.2,13/01/2021,5,0.5175,0.0080,0.4745,-1
TRPL4,07/01/2021,27.32,07/01/2020,06/01/2021,28.26,14/01/2021,5,0.5148,0.0080,0.4772,-1
TRPL4,08/01/2021,26.91,08/01/2020,07/01/2021,28.24,15/01/2021,5,0.5148,0.0080,0.4772,-1
TRPL4,09/01/2021,27.98,09/01/2020,08/01/2021,28.13,16/01/2021,5,0.5148,0.0080,0.4772,-1
TRPL4,12/01/2021,27.49,10/01/2020,09/01/2021,28.07,19/01/2021,5,0.5215,0.0081,0.4704,1
TRPL4,13/01/2021,28.2,11/01/2020,12/01/2021,27.97,20/01/2021,5,0.5135,0.0080,0.4785,-1
TRPL4,14/01/2021,28.26,14/01/2020,13/01/2021,27.53,21/01/2021,5,0.5188,0.0081,0.4731,-1
TRPL4,15/01/2021,28.24,15/01/2020,14/01/2021,27.31,22/01/2021,5,0.5215,0.0081,0.4704,0
TRPL4,16/01/2021,28.13,16/01/2020,15/01/2021,27.1,23/01/2021,5,0.5135,0.0080,0.4785,-1
TRPL4,19/01/2021,28.07,17/01/2020,16/01/2021,26.92,27/01/2021,5,0.5094,0.0080,0.4826,-1
TRPL4,20/01/2021,27.97,18/01/2020,19/01/2021,27.02,28/01/2021,5,0.5054,0.0080,0.4866,-1
TRPL4,21/01/2021,27.53,21/01/2020,20/01/2021,26.93,29/01/2021,5,0.5014,0.0080,0.4906,-1
TRPL4,22/01/2021,27.31,22/01/2020,21/01/2021,26.35,30/01/2021,5,0.4987,0.0080,0.4933,-1
TRPL4,23/01/2021,27.1,23/01/2020,22/01/2021,26.66,02/02/2021,5,0.4987,0.0080,0.4933,-1
TRPL4,27/01/2021,26.92,24/01/2020,23/01/2021,26.34,03/02/2021,5,0.4987,0.0080,0.4933,-1
TRPL4,28/01/2021,27.02,25/01/2020,27/01/2021,26.51,04/02/2021,5,0.4987,0.0080,0.4933,-1
TRPL4,29/01/2021,26.93,28/01/2020,28/01/2021,26.03,05/02/2021,5,0.5054,0.0081,0.4865,-1
