Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
CYRE3,05/01/2021,28.5,03/01/2020,31/12/2020,27.6,12/01/2021,5,0.5100,0.0121,0.4778,-1
CYRE3,06/01/2021,27.95,04/01/2020,05/01/2021,28.58,16/01/2021,8,0.5031,0.0121,0.4849,-1
CYRE3,07/01/2021,27.12,07/01/2020,06/01/2021,28.78,14/01/2021,5,0.5020,0.0120,0.4859,-1
CYRE3,08/01/2021,27.4,08/01/2020,07/01/2021,29.78,15/01/2021,5,0.4990,0.0121,0.4889,-1
CYRE3,09/01/2021,28.71,09/01/2020,08/01/2021,28.58,16/01/2021,5,0.5070,0.0122,0.4808,-1
CYRE3,12/01/2021,27.6,10/01/2020,09/01/2021,29.78,15/01/2021,3,0.5101,0.0121,0.4778,-1
CYRE3,13/01/2021,28.96,11/01/2020,12/01/2021,28.26,20/01/2021,5,0.5020,0.0120,0.4859,-1
CYRE3,14/01/2021,28.78,14/01/2020,13/01/2021,28.42,21/01/2021,5,0.5060,0.0121,0.4818,-1
CYRE3,15/01/2021,29.78,15/01/2020,14/01/2021,26.9,22/01/2021,5,0.4990,0.0121,0.4889,-1
CYRE3,16/01/2021,28.58,16/01/2020,15/01/2021,26,23/01/2021,5,0.5060,0.0121,0.4818,-1
CYRE3,19/01/2021,28.55,17/01/2020,16/01/2021,25.54,27/01/2021,5,0.4980,0.0120,0.4899,-1
CYRE3,20/01/2021,28.26,18/01/2020,19/01/2021,25.79,28/01/2021,5,0.4940,0.0120,0.4939,-1
CYRE3,21/01/2021,28.42,21/01/2020,20/01/2021,27.1,03/02/2021,8,0.4910,0.0121,0.4970,-1
CYRE3,22/01/2021,26.9,22/01/2020,21/01/2021,25.79,28/01/2021,3,0.4979,0.0121,0.4899,-1
CYRE3,23/01/2021,26,23/01/2020,22/01/2021,26.42,02/02/2021,5,0.4900,0.0120,0.4980,-1
CYRE3,27/01/2021,25.54,24/01/2020,23/01/2021,27.1,03/02/2021,5,0.4869,0.0121,0.5010,-1
CYRE3,28/01/2021,25.79,25/01/2020,27/01/2021,28.14,04/02/2021,5,0.4869,0.0121,0.5010,-1
CYRE3,29/01/2021,26.65,28/01/2020,28/01/2021,27.1,03/02/2021,3,0.4939,0.0121,0.4939,-1
CYRE3,30/01/2021,25.63,29/01/2020,29/01/2021,27.44,06/02/2021,5,0.4949,0.0122,0.4929,-1
