Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto
ITUB4,05/01/2021,30.9,03/01/2020,31/12/2020,32.08,12/01/2021,5,0.4798,0.0081,0.5121,-1
ITUB4,06/01/2021,30.7,04/01/2020,05/01/2021,32.18,13/01/2021,5,0.4798,0.0081,0.5121,-1
ITUB4,07/01/2021,31.55,07/01/2020,06/01/2021,31.65,14/01/2021,5,0.4798,0.0081,0.5121,-1
ITUB4,08/01/2021,32.83,08/01/2020,07/01/2021,30.83,20/01/2021,8,0.4876,0.0081,0.5043,-1
ITUB4,09/01/2021,32.82,09/01/2020,08/01/2021,31.36,16/01/2021,5,0.4916,0.0081,0.5003,-1
ITUB4,12/01/2021,32.08,10/01/2020,09/01/2021,29.91,22/01/2021,8,0.4879,0.0081,0.5040,-1
ITUB4,13/01/2021,32.18,11/01/2020,12/01/2021,30.83,20/01/2021,5,0.4867,0.0081,0.5053,-1
ITUB4,14/01/2021,31.65,14/01/2020,13/01/2021,29.08,02/02/2021,12,0.4926,0.0060,0.5013,-1
ITUB4,15/01/2021,32.59,15/01/2020,14/01/2021,28.23,28/01/2021,8,0.4879,0.0040,0.5081,-1
ITUB4,16/01/2021,31.36,16/01/2020,15/01/2021,29.27,23/01/2021,5,0.4938,0.0040,0.5022,-1
ITUB4,19/01/2021,31.2,17/01/2020,16/01/2021,28.25,27/01/2021,5,0.4861,0.0040,0.5099,-1
ITUB4,20/01/2021,30.83,18/01/2020,19/01/2021,29.08,02/02/2021,8,0.4839,0.0040,0.5121,-1
ITUB4,21/01/2021,30.32,21/01/2020,20/01/2021,28.46,03/02/2021,8,0.4839,0.0040,0.5121,-1
