Ação,"Data de Previsão","Preço na Data de Previsão","Dia Inicial da matriz de transição","Dia Final da matriz de transição","Preço na Data Após n dias","Dia após n iterações",Iterações,"Probabilidade de Subir","Probabilidade de Permanecer o Valor","Probabilidade de Cair",Acerto,"Acerto 1 dia depois de n iterações","Acerto 2 dias depois de n iterações"
CESP6,05/01/2021,28.92,03/01/2018,31/12/2020,28.85,12/01/2021,5,0.4999,0.0242,0.4759,-1,-1,-1
CESP6,06/01/2021,28.69,04/01/2018,05/01/2021,29.15,13/01/2021,5,0.4999,0.0242,0.4759,-1,-1,-1
CESP6,07/01/2021,28.13,05/01/2018,06/01/2021,29.68,14/01/2021,5,0.4998,0.0242,0.4760,-1,-1,-1
CESP6,08/01/2021,28.11,06/01/2018,07/01/2021,30.35,15/01/2021,5,0.4985,0.0241,0.4773,-1,-1,-1
CESP6,09/01/2021,29.17,09/01/2018,08/01/2021,30.59,16/01/2021,5,0.4985,0.0229,0.4786,-1,-1,-1
CESP6,12/01/2021,28.85,10/01/2018,09/01/2021,30.58,19/01/2021,5,0.4998,0.0229,0.4773,-1,-1,-1
CESP6,13/01/2021,29.15,11/01/2018,12/01/2021,30.75,20/01/2021,5,0.4972,0.0229,0.4800,-1,-1,-1
CESP6,14/01/2021,29.68,12/01/2018,13/01/2021,30.1,21/01/2021,5,0.4986,0.0229,0.4786,-1,-1,-1
CESP6,15/01/2021,30.35,13/01/2018,14/01/2021,30,22/01/2021,5,0.4998,0.0229,0.4773,-1,-1,-1
CESP6,16/01/2021,30.59,16/01/2018,15/01/2021,29.81,23/01/2021,5,0.4999,0.0229,0.4772,-1,-1,-1
CESP6,19/01/2021,30.58,17/01/2018,16/01/2021,29.42,27/01/2021,5,0.5012,0.0229,0.4759,-1,-1,-1
CESP6,20/01/2021,30.75,18/01/2018,19/01/2021,29.44,28/01/2021,5,0.4986,0.0229,0.4786,-1,-1,-1
CESP6,21/01/2021,30.1,19/01/2018,20/01/2021,29.99,29/01/2021,5,0.5012,0.0229,0.4759,-1,-1,-1
CESP6,22/01/2021,30,20/01/2018,21/01/2021,29.25,30/01/2021,5,0.4985,0.0229,0.4786,-1,-1,-1
CESP6,23/01/2021,29.81,23/01/2018,22/01/2021,29.5,02/02/2021,5,0.4972,0.0229,0.4799,-1,-1,-1
CESP6,27/01/2021,29.42,24/01/2018,23/01/2021,29.7,03/02/2021,5,0.4971,0.0229,0.4800,-1,-1,-1
CESP6,28/01/2021,29.44,25/01/2018,27/01/2021,30.51,04/02/2021,5,0.4958,0.0229,0.4813,-1,-1,-1
CESP6,29/01/2021,29.99,27/01/2018,28/01/2021,30.68,05/02/2021,5,0.4971,0.0229,0.4800,-1,-1,-1
CESP6,30/01/2021,29.25,30/01/2018,29/01/2021,31.16,06/02/2021,5,0.4971,0.0229,0.4800,-1,-1,-1
CESP6,02/02/2021,29.5,31/01/2018,30/01/2021,31.13,09/02/2021,5,0.4945,0.0229,0.4827,-1,-1,-1
CESP6,03/02/2021,29.7,01/02/2018,02/02/2021,31.11,10/02/2021,5,0.4959,0.0229,0.4813,-1,-1,-1
CESP6,04/02/2021,30.51,02/02/2018,03/02/2021,30.9,11/02/2021,5,0.4971,0.0229,0.4800,-1,-1,-1
CESP6,05/02/2021,30.68,03/02/2018,04/02/2021,30.4,12/02/2021,5,0.4972,0.0229,0.4799,-1,-1,-1
CESP6,06/02/2021,31.16,06/02/2018,05/02/2021,29.62,13/02/2021,5,0.4985,0.0229,0.4786,-1,-1,-1
CESP6,09/02/2021,31.13,07/02/2018,06/02/2021,29.58,18/02/2021,5,0.4986,0.0229,0.4786,-1,-1,-1
CESP6,10/02/2021,31.11,08/02/2018,09/02/2021,29.12,19/02/2021,5,0.4972,0.0229,0.4799,-1,-1,-1
CESP6,11/02/2021,30.9,09/02/2018,10/02/2021,29.44,20/02/2021,5,0.4972,0.0229,0.4799,-1,-1,-1
CESP6,12/02/2021,30.4,10/02/2018,11/02/2021,27.8,23/02/2021,5,0.4971,0.0229,0.4800,-1,-1,-1
CESP6,13/02/2021,29.62,15/02/2018,12/02/2021,28.24,24/02/2021,5,0.4959,0.0229,0.4813,-1,-1,-1
CESP6,18/02/2021,29.58,16/02/2018,13/02/2021,28.2,25/02/2021,5,0.4959,0.0229,0.4813,-1,-1,-1
CESP6,19/02/2021,29.12,17/02/2018,18/02/2021,27.15,26/02/2021,5,0.4959,0.0229,0.4813,-1,-1,-1
CESP6,20/02/2021,29.44,20/02/2018,19/02/2021,27.28,27/02/2021,5,0.4958,0.0229,0.4814,-1,-1,-1
CESP6,23/02/2021,27.8,21/02/2018,20/02/2021,26.49,02/03/2021,5,0.4972,0.0229,0.4799,-1,-1,-1
CESP6,24/02/2021,28.24,22/02/2018,23/02/2021,26.86,03/03/2021,5,0.4959,0.0229,0.4813,-1,-1,-1
CESP6,25/02/2021,28.2,23/02/2018,24/02/2021,26.8,04/03/2021,5,0.4985,0.0229,0.4786,-1,-1,-1
